Code,Description,Type
I6,NURSING HOME,HOSPITALS AND HEALTH FACILITIES
I7,ADULT CARE FACILITY,HOSPITALS AND HEALTH FACILITIES
I9,"MISCELLANEOUS HOSPITAL, HEALTH CARE FACILITY",HOSPITALS AND HEALTH FACILITIES
J,THEATRES,THEATRES
J1,THEATRE; ART TYPE LESS THAN 400 SEATS,THEATRES
J2,THEATRE; ART TYPE MORE THAN 400 SEATS,THEATRES
J3,MOTION PICTURE THEATRE WITH BALCONY,THEATRES
J4,"LEGITIMATE THEATRE, SOLE USE",THEATRES
J5,THEATRE IN MIXED-USE BUILDING,THEATRES
J6,TELEVISION STUDIO,THEATRES
J7,OFF BROADWAY TYPE THEATRE,THEATRES
J8,MULTIPLEX PICTURE THEATRE,THEATRES
J9,MISCELLANEOUS THEATRE,THEATRES
K,STORE BUILDINGS,STORE BUILDINGS
K1,ONE STORY RETAIL BUILDING,STORE BUILDINGS
K2,MULTI-STORY RETAIL BUILDING (2 OR MORE),STORE BUILDINGS
K3,MULTI-STORY DEPARTMENT STORE,STORE BUILDINGS
K4,PREDOMINANT RETAIL WITH OTHER USES,STORE BUILDINGS
K5,STAND-ALONE FOOD ESTABLISHMENT,STORE BUILDINGS
K6,SHOPPING CENTER WITH OR WITHOUT PARKING,STORE BUILDINGS
K7,BANKING FACILITIES WITH OR WITHOUT PARKING,STORE BUILDINGS
K8,BIG BOX RETAIL,STORE BUILDINGS
K9,MISCELLANEOUS STORE BUILDING,STORE BUILDINGS
L,LOFTS,LOFTS
L1,LOFT; OVER 8 STORIES (MID MANH. TYPE),LOFTS
L2,LOFT; FIREPROOF AND STORAGE TYPE WITHOUT STORES,LOFTS
L3,LOFT; SEMI-FIREPROOF,LOFTS
L8,LOFT; WITH RETAIL STORES OTHER THAN TYPE ONE,LOFTS
L9,MISCELLANEOUS LOFT,LOFTS
M,RELIGIOUS FACILITIES,RELIGIOUS FACILITIES
M1,"CHURCH, SYNAGOGUE, CHAPEL",RELIGIOUS FACILITIES
